K,D,A,Hero Damage,Turret Damage,Damage Taken,Teamfight Participation,Skor
20,7,11,154588,20807,103479,69,12.9
2,5,26,28983,1631,115776,62,9.7
4,4,15,40882,8413,107533,47,8.7
4,9,14,54785,1555,119821,44,6.6
11,1,15,65756,7999,52900,58,11.5
6,8,5,87668,2014,264626,42,6.6
11,7,2,58887,1528,101469,50,7.1
2,10,8,32974,0,173661,38,4.3
2,12,9,57294,6874,76626,42,4.2
5,8,8,76446,0,54117,50,5.7
