K,D,A,Hero Damage,Turret Damage,Damage Taken,Teamfight Participation,Skor
7,5,5,48826,13143,130503,52,7.8
2,6,6,42522,3601,61459,35,4.8
0,4,12,27358,1431,98020,52,6.9
7,7,4,57554,11672,474665,48,6
10,5,5,65555,1147,188102,65,9.3
1,3,11,47434,3808,33770,44,7.1
7,2,6,94142,1581,46100,48,8.4
6,6,5,80136,3019,126731,41,6.7
3,6,15,28088,0,113778,67,8
10,6,8,99829,0,71226,67,8.5
