K,D,A,Hero Damage,Turret Damage,Damage Taken,Teamfight Participation,Skor
7,7,6,69747,0,188074,39,6.4
4,11,6,55014,2810,58309,30,3.6
4,5,8,48500,0,41410,36,5.8
17,5,4,118469,10825,95680,64,11.3
1,9,13,56411,0,253570,42,6.3
6,6,7,45409,8922,53743,35,6.6
18,4,7,97833,4609,73397,68,11.9
0,10,6,48984,8161,97105,16,3
8,5,12,84285,0,57349,54,8.8
5,8,7,76700,1569,129392,32,5.6
