K,D,A,Hero Damage,Turret Damage,Damage Taken,Teamfight Participation,Skor
18,8,4,134077,19197,133065,65,10.3
5,7,7,53699,2842,170698,35,5.4
4,7,14,121365,3413,64369,53,7.1
2,6,21,40181,228,226954,68,9.2
5,3,9,48028,4133,225741,41,7.9
11,4,7,73676,1997,115812,58,9
1,13,14,84391,4489,112077,48,4.4
8,11,10,97332,3193,201512,58,6.9
6,4,20,73313,1102,255004,84,11.4
5,2,17,87260,13752,62401,71,11
