K,D,A,Hero Damage,Turret Damage,Damage Taken,Teamfight Participation,Skor
14,8,14,124936,14706,93595,76,11
5,3,22,33845,0,141659,73,10.8
9,1,22,100891,2560,49873,84,12.9
3,5,20,49451,408,162121,62,8.9
6,5,14,92469,5294,107314,54,8.8
10,3,5,74569,2657,135523,68,9.6
3,10,3,77063,3472,194777,27,4.1
3,8,7,60896,0,86553,45,4.7
1,8,12,38692,0,235552,59,6.8
5,8,6,74055,6720,71671,50,6
