K,D,A,Hero Damage,Turret Damage,Damage Taken,Teamfight Participation,Skor
5,1,10,58448,8711,41379,68,9.8
1,4,7,30344,796,135939,36,5.8
3,4,10,80019,9644,59488,59,8.2
12,4,3,71495,0,121774,68,9.4
1,1,12,23356,0,123509,59,8.7
1,7,2,40104,439,82034,21,3
2,3,7,80397,3358,42839,64,7.6
0,5,6,43618,1131,64385,43,5.2
7,6,3,108916,4569,203817,71,8.9
4,2,7,27564,1039,62647,79,9
