K,D,A,Hero Damage,Turret Damage,Damage Taken,Teamfight Participation,Skor
9,8,10,91672,124,58647,63,8
5,5,10,60336,4313,164670,50,8.2
11,7,5,68674,0,100974,53,7.3
3,10,8,51835,0,64744,37,4.3
2,12,12,20207,0,135112,47,4.8
17,4,3,65702,45,57899,48,9.2
16,6,6,127422,5853,106530,52,10.5
1,8,24,26613,1980,101259,60,8.2
7,8,3,51248,8837,97658,24,5.3
1,4,14,85247,0,85780,36,7.4
