K,D,A,Hero Damage,Turret Damage,Damage Taken,Teamfight Participation,Skor
13,6,4,100659,15072,71593,63,9.6
7,9,10,88203,3755,168851,63,8.1
0,5,16,14105,0,59341,59,7.3
4,6,6,34863,1635,75611,37,5.4
3,2,9,53259,1252,29470,44,7.8
1,6,20,44205,0,201868,75,9.7
7,4,10,49349,1969,44035,61,8.4
10,5,5,49720,15818,97378,46,8
3,4,4,47519,3746,101038,29,5.9
7,8,8,81315,1352,76202,57,7
