K,D,A,Hero Damage,Turret Damage,Damage Taken,Teamfight Participation,Skor
5,5,8,56047,312,106636,43,7
8,3,10,74591,4404,63384,60,9.6
3,7,7,24977,3752,104322,33,4.9
0,2,18,28490,372,101655,60,9
14,7,2,99509,9034,88547,53,9
6,5,6,74205,2082,63042,50,7.2
2,6,7,59691,7680,68702,38,5.7
4,7,13,51355,438,167014,71,8
10,5,5,74362,0,58255,63,8.2
2,7,9,48249,8638,87123,46,6.4
